razon_social,n_concesiones,hectareas_totales,departamentos,provincias,estados_concesion,sustancias,dominio_corporativo,nombre_decisor,cargo,correo_corporativo,telefono_empresarial,fuente_dato,servicio_potencial,ultima_interaccion
COMPAÑIA MINERA LOS TOLMOS S.A.,2,1600.0,CAJAMARCA,CAJAMARCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. ARIETE,2,300.0,CAJAMARCA,SAN IGNACIO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SERVICIOS GENERALES DELROJ E.I.R.L.,2,600.0,CAJAMARCA,CHOTA /  CUTERVO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
OXICAL SERBER S.R.L.,2,149.8,CAJAMARCA,CHOTA /  HUALGAYOC; HUALGAYOC,TITULADO,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. AGUILA M1,2,1000.0,CAJAMARCA,CAJABAMBA; CONTUMAZA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. SAN BENITO VII 2024,2,1200.0,CAJAMARCA,CONTUMAZA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. REINA DE SAN IGNACIO,2,200.0,CAJAMARCA,SAN IGNACIO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
PROCESADORA BLASTER S.R.L Y OTROS,2,200.0,CAJAMARCA; PIURA,AYABACA; SAN IGNACIO,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GRUPO EMPRESARIAL ISM S.A.C.,2,500.0,CAJAMARCA,CONTUMAZA; SAN MARCOS,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA REINA DEL CISNE S.A.C. Y OTROS,2,1700.0,CAJAMARCA,JAEN; SAN IGNACIO,EXTINGUIDO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
BLACKROCK INVERSIONES Y PROYECTOS S.A.C.,2,200.0,CAJAMARCA,JAEN; SAN IGNACIO,EXTINGUIDO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPACE INGENIERIA Y SERVICIOS GENERALES SRL,2,600.0,CAJAMARCA,CONTUMAZA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES GENESIS II S.A.C.,2,2000.0,CAJAMARCA,CELENDIN,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES ARABICUS S.A.C.,2,2000.0,CAJAMARCA,CELENDIN,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINORTEX MINING S.A.C.,2,1000.0,CAJAMARCA; PIURA,AYABACA; SAN MIGUEL,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ORO NEGRO JJL SERVICIOS GENERALES S.A.C.,2,600.0,CAJAMARCA,HUALGAYOC,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GRUPO FRAMATA S.R.L.,2,1000.0,CAJAMARCA,CHOTA; CHOTA /  SANTA CRUZ,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MAMA VICKY II,2,1200.0,CAJAMARCA /  LA LIBERTAD,ASCOPE /  CONTUMAZA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CARBONIFERA SEÑOR DE LA MISERICORDIA E.I.R.L,2,200.0,CAJAMARCA /  LA LIBERTAD,CAJABAMBA /  SANCHEZ CARRION,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
BLACK HILL COMPANY S.A.C.,2,1200.0,CAJAMARCA /  LA LIBERTAD,CAJAMARCA /  GRAN CHIMU,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GY RECURSOS MINERALES S.A.C,2,400.0,PIURA,AYABACA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSORCIO PANA CONTRATISTAS GENERALES S.A.C.,2,800.0,PIURA,AYABACA,TITULADO; TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ASA S.A.C.,2,400.0,PIURA,SECHURA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MORAN TRANSPORTE Y MONTAJE S.A.C.,2,200.0,PIURA,TALARA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA LOS ANDES DEL CENTRO S.R.L.,2,800.0,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CASA DE PIEDRA IV,2,600.0,PIURA,SULLANA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. GIULIANITA,2,400.0,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORACION PERUANA DEL ACERO S.A.C.,2,900.0,PIURA,PAITA; PIURA /  SULLANA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SOLUCIONES EMPRESARIALES ROA S.A.C.,2,200.0,PIURA,SULLANA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EXTRAKTION GROUP SAC.,2,400.0,PIURA,PIURA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
AGREGADOS SAINT THOMAS S.A.C.,2,300.0,PIURA,PAITA /  SULLANA; TALARA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
TRANSPORTES ROA S.R.L.,2,200.0,PIURA,SULLANA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. VIRGEN DE LAS NIEVES 82,2,800.0,PIURA,AYABACA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ASOCIACION MINERA PROGRESO Y DESARROLLO VILLA YAPATO,2,300.0,PIURA,PIURA,TITULADO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. ESCORPION - I,2,600.0,PIURA,TALARA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ESCALMIN E.I.R.L.,2,1000.0,PIURA,AYABACA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORACION SALINERA PARACAS S.A.C.,2,600.0,PIURA,SECHURA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA WAR WAR S.A.C.,2,400.0,PIURA,AYABACA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
AMERICAS POTASH PERU S.A.,2,400.0,PIURA,SECHURA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. FILONES DORADOS,2,740.7,PIURA,AYABACA /  FUERA DEL PERU; AYABACA /  SULLANA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERALES S & G EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITA,2,400.0,PIURA,SULLANA,TITULADO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA LAS LOMAS DORADAS S.A.C.,2,205.3,PIURA,AYABACA; PIURA,OTROS; TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CCS CONSTRUCTORA E INMOBILIARIA S.A.C.,2,600.0,PIURA,AYABACA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MUNICIPALIDAD PROVINCIAL DE TALARA,2,800.0,PIURA,TALARA,OTROS,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
PIEDRA DE AGUA E.I.R.L.,2,300.0,PIURA,PAITA /  SULLANA; SULLANA,TITULADO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CUPRUM CAPITAL INVESTMENTS SOCIEDAD ANONIMA CERRADA,2,1500.0,PIURA,PIURA /  SULLANA; SULLANA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
J & L INVERSIONES S.A.C.,2,1400.0,PIURA,AYABACA; SECHURA,TITULADO,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES LAS REJAS E.I.R.L.,2,200.0,PIURA,MORROPON,TITULADO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INDUSTRIA HFLORES SOCIEDAD ANONIMA CERRADA,2,400.0,PIURA,PIURA,TITULADO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
NEGOCIOS Y SERVICIOS GENERALES JUAREZ E.I.R.L.,2,300.0,PIURA,SECHURA,TITULADO; TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
VIFEAL CONTRATISTAS GENERALES SOCIEDAD ANONIMA CERRADA,2,200.0,PIURA,PIURA /  SULLANA; SULLANA,TITULADO,M; N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. HIERRO FERRUGINOSO I,2,1600.0,PIURA,PIURA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
PALPINA COMPAÑIA MINERA S.A.C. Y OTROS,2,1500.0,PIURA,AYABACA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
DOIG SERVICIOS E.I.R.L,2,500.0,PIURA,SULLANA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CHAVAL I,1,600.0,ANCASH,CASMA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ANDIMETAL S.A.C,1,9.1,ANCASH,CASMA,OTROS,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA ELOHIM S.A.C.,1,26.7,ANCASH,CASMA,OTROS,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. XIMENITA DE CASMA IV,1,300.0,ANCASH,CASMA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INSUMOS AGRICOLAS DEL SUR E.I.R.L.,1,500.0,ANCASH,CASMA,EXTINGUIDO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA PEDREGAL S.A.,1,50.0,ANCASH,CASMA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. SANTA FE I CAROLINA,1,100.0,ANCASH,CASMA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
AC MIXER SOCIEDAD ANONIMA - AC MIXER S.A.,1,200.0,ANCASH,CASMA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GRUPO CAM PERU SAC,1,100.0,ANCASH,CASMA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. DON RAFO 2,1,300.0,ANCASH,CASMA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
PERUVIAN GOLDEN MINING E.I.R.L.,1,200.0,ANCASH,CASMA,EXTINGUIDO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA KORIWAYTA S.A.C,1,200.0,ANCASH,CASMA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GRUPO EMPRESARIAL MINERO CHIMBOTE SAC,1,200.0,ANCASH,CASMA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INGENIERIA Y MEDIO AMBIENTE DEL PACIFICO S.A.C.,1,41.1,ANCASH,CASMA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LA ESTRELLA DE BELEN JF,1,100.0,ANCASH,CASMA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MARMOLES Y GRANITOS S.A.,1,9.2,ANCASH,CASMA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
PURE GOLD S.A.C,1,400.0,ANCASH,CASMA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. ESLITH Y ASHLY,1,100.0,ANCASH,CASMA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EXPLORACIONES BELLA UNION S.A.C.,1,100.0,ANCASH,CASMA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ASOCIACION AGRARIA NUEVO CASMA,1,1000.0,ANCASH,CASMA,EXTINGUIDO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INGENIERIA SISMORRESISTENTE E.I.R.L.,1,100.0,ANCASH,CASMA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MILAGROS BELEN,1,200.0,ANCASH,CASMA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
BOREAL INGENIEROS S.A.C.,1,24.5,ANCASH,CASMA,OTROS,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GOLDEN LIGHT S.A.C.,1,300.0,ANCASH,CASMA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CIMAS MINERALS S.A.C.,1,200.0,ANCASH,CASMA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. JAZMIN JHESLYN I Y OTROS,1,100.0,ANCASH,CASMA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. PARAISO MINERO JJ,1,100.0,ANCASH,CASMA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORACION FERRETERA JG ANGELA E.I.R.L,1,400.0,ANCASH,CASMA,EXTINGUIDO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ORANGE SAND S.A.C.,1,400.0,ANCASH,CASMA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSTRUCTORA Y SERVICIOS GENERALES OQ E.I.R.L.,1,100.0,ANCASH,CASMA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. ESPERANZA 2024 III,1,100.0,ANCASH,CASMA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MINA LA PERLA,1,200.0,ANCASH,CASMA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
EVAL RESOURCES S.A.C.,1,100.0,ANCASH,CASMA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERPROMIN S.A.C.,1,700.0,ANCASH,CASMA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
LIDER CONSTRUCREY S.A.C,1,600.0,ANCASH,CASMA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES CAVALA S.A.C.,1,100.0,ANCASH,CASMA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CORPORATION TOLEDO S.A.C.,1,1000.0,ANCASH,CASMA /  MAR,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ASOCIACION DE VIVIENDA LA CONCHUELA-CALETA LA GRAMITA-CASA,1,100.0,ANCASH,CASMA /  MAR,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
PAMPAMAR MINING SAC,1,300.0,ANCASH,CASMA /  MAR,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. ESTELER NORTH,1,300.0,ANCASH,CASMA /  SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES CATAMAR E.I.R.L.,1,100.0,ANCASH,CASMA /  SANTA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERED S.A.C.,1,300.0,ANCASH,CASMA /  YUNGAY,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
FORTUNE MINING S.A.C.,1,1000.0,ANCASH,CASMA /  YUNGAY,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. INMACULADA H-10,1,400.0,ANCASH,CORONGO,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MILKA,1,100.0,ANCASH,CORONGO,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
WKD TRADING S.A.C.,1,100.0,ANCASH,CORONGO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CRISTY III,1,200.0,ANCASH,CORONGO,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. PERLA NEGRA XI,1,400.0,ANCASH,CORONGO,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
DIFESMIN INGENIERIA Y CONSTRUCCION S.A.C.,1,1000.0,ANCASH,CORONGO /  PALLASCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINING SPARTACUS E.I.R.L.,1,100.0,ANCASH,CORONGO /  SANTA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONSTRUCTORA Y MINERA NAMOLE SAC,1,100.0,ANCASH,CORONGO /  SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
IMG EXPORTACIONES S.A.C.,1,200.0,ANCASH,HUARMEY,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES GRAVING S.A.C.,1,100.0,ANCASH,HUARMEY,EXTINGUIDO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. RIO VERDE XXI,1,500.0,ANCASH,HUARMEY,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ALL-CHEMIST CORPORACION MINERA S.A.C.,1,100.0,ANCASH,HUARMEY,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SERVICIOS GENERALES PATRICIO OBREGON E.I.R.L,1,200.0,ANCASH,HUARMEY,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. FORTALEZA NUEVA ESPERANZA,1,100.0,ANCASH,HUARMEY,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. QUIYAN 2023 I,1,100.0,ANCASH,HUARMEY,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MAGMA MINERALS S.A.C,1,1000.0,ANCASH,HUARMEY,EXTINGUIDO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MINERALS CORPORATION LUED,1,100.0,ANCASH,HUARMEY,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CANTERA SOL DE HUARMEY,1,400.0,ANCASH,HUARMEY,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA ÑAUSACOCHA S.A.C.,1,400.0,ANCASH,HUARMEY,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
SERVICIOS GENERALES BELPORT E.I.R.L.,1,200.0,ANCASH,HUARMEY,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
JEK CORPORATION SA,1,100.0,ANCASH,HUARMEY,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
FRASSER S.A.C.,1,100.0,ANCASH,HUARMEY,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA APC S.A.,1,200.0,ANCASH,HUARMEY,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. RIO VERDE XX,1,400.0,ANCASH,HUARMEY,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA SOL DE CASMA S.A.C.,1,35.2,ANCASH,HUARMEY,OTROS,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA LOMAS DE CASMA E.I.R.L,1,100.0,ANCASH,HUARMEY,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. PRONTO LLEGARA EL DIA DE MI SUERTE,1,100.0,ANCASH,HUARMEY,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
FORESTAL MONTEVERDE S.A.C.,1,200.0,ANCASH,HUARMEY,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
"IMPORTACIONES, CONCESIONES & CONSTRUCCIONES BELPORT E.I.R.L.",1,100.0,ANCASH,HUARMEY,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
J & D INVERTELP S.A.C.,1,300.0,ANCASH,HUARMEY,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MENA KAIZEN II,1,300.0,ANCASH,HUARMEY /  MAR,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EL MERO DE TUQUILLO BEACH,1,400.0,ANCASH,HUARMEY /  MAR,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA MONTE CARMELO S.A.C.,1,500.0,ANCASH,HUARMEY /  MAR,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
COMPAÑIA MINERA CONTINENTAL S.A.C.,1,100.0,ANCASH,HUAYLAS,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
UNDERSOL S.A.C.,1,1000.0,ANCASH,HUAYLAS /  SANTA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LAS SALINAS DE ENSUEÑO,1,200.0,ANCASH,MAR /  SANTA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. AMIRA I,1,100.0,ANCASH,MAR /  SANTA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. BAHIA BLANCA 2022,1,300.0,ANCASH,MAR /  SANTA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERALES JYM E.I.R.L,1,200.0,ANCASH,PALLASCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
FORTALEZA MINING PERU S.A.C.,1,100.0,ANCASH,PALLASCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LULÚ,1,100.0,ANCASH,PALLASCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CRISTO REY R DE REYES,1,200.0,ANCASH,PALLASCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LOS TIEMPOS DE DIOS SON PERFECTOS 3,1,200.0,ANCASH,PALLASCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EL PODEROSO 2023,1,100.0,ANCASH,PALLASCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MINERA MARTHITA 777,1,300.0,ANCASH,PALLASCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA DEL NORTE PERUANO E.I.R.L.,1,400.0,ANCASH,PALLASCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. AMELIE,1,100.0,ANCASH,PALLASCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CONTRATISTAS GENERALES VELVAL SAC,1,100.0,ANCASH,PALLASCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CRISTO REY R DE R,1,200.0,ANCASH,PALLASCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERIA Y METALURGIA S.A.C.,1,225.2,ANCASH,PALLASCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MINERA HALLY,1,100.0,ANCASH,PALLASCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
REPRESENTACIONES Y SERVICIOS NUEVO MUNDO S.A.C.,1,100.0,ANCASH,PALLASCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
GRUPO MINERO SAN AGUSTIN SAC,1,100.0,ANCASH,PALLASCA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
BAREX BUSINESS S.A.C,1,100.0,ANCASH,PALLASCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. CRISTO REY R DE R 1,1,200.0,ANCASH,PALLASCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. XIMENA-23,1,200.0,ANCASH,PALLASCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
REPRESENTACIONES GAPYCAL S.A.C.,1,100.0,ANCASH,PALLASCA,TRAMITE,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. VALENTINO H3,1,100.0,ANCASH,PALLASCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. VIRGEN DE LAS MERCEDES DOS,1,200.0,ANCASH,PALLASCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MEDALLITA I,1,200.0,ANCASH,PALLASCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. BASTA - BASTA -2,1,1000.0,ANCASH,PALLASCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. RIO LLACTABAMBA,1,200.0,ANCASH,PALLASCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. PERLA NEGRA XVI,1,100.0,ANCASH,PALLASCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA UNA S.A.,1,100.0,ANCASH,PALLASCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MINA LINDA,1,100.0,ANCASH,PALLASCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. PERLA NEGRA 2021,1,300.0,ANCASH,PALLASCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
CARBONIFERA E INVERSIONES MULTIPLES R&R S.A.C.,1,500.0,ANCASH,PALLASCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EL PODEROSO 2021,1,200.0,ANCASH,PALLASCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. LOS TIEMPOS DE DIOS SON PERFECTOS1,1,100.0,ANCASH,PALLASCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. MINA LOS REYES I,1,200.0,ANCASH,PALLASCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. VALENTINO HUGO,1,200.0,ANCASH,PALLASCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
ALTA MONTAÑA COALCORP SAC,1,100.0,ANCASH,PALLASCA,TITULADO,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
S.M.R.L. EL PODEROSO 2024,1,100.0,ANCASH,PALLASCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES VALGAR EIRL,1,200.0,ANCASH,PALLASCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
INVERSIONES LIEBE MARITA E.I.R.L.,1,300.0,ANCASH,PALLASCA,TITULADO,M,,,,,,INGEMMET - Catastro Minero (zona 17S),,
MINERA PERU NORTE E.I.R.L.,1,100.0,ANCASH,PALLASCA,TRAMITE,N,,,,,,INGEMMET - Catastro Minero (zona 17S),,
